,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.12736975,0.028747343,1.0,0.0,0.0,0.0,True,Cldn10
Neural Stem Cells,0.04327956,0.020886086,0.989,0.011,0.011,0.0055,True,Cldn10
Myocytes,0.035269786,0.018800227,0.967,0.033,0.033,0.014666666666666666,True,Cldn10
Oligodendrocyte Precursor Cells,0.016968686,0.011468463,0.931,0.069,0.069,0.02825,True,Cldn10
Neurons,0.012355719,0.013709447,0.811,0.189,0.189,0.060399999999999995,False,Cldn10
Astrocytes,0.013259009,0.017159037,0.788,0.212,0.212,0.08566666666666667,False,Cldn10
Medium Spiny Neurons,0.0046310504,0.009523342,0.703,0.297,0.297,0.11585714285714285,False,Cldn10
Excitatory Neurons,0.0066101635,0.012503383,0.702,0.298,0.298,0.138625,False,Cldn10
Oligodendrocytes,0.0016979914,0.010259613,0.574,0.426,0.426,0.17055555555555554,False,Cldn10
Endothelial Cells,-0.00524205,0.030889284,0.435,0.565,0.435,0.197,False,Cldn10
GABAergic Neurons,0.0005537667,0.019582015,0.528,0.472,0.472,0.222,False,Cldn10
Microglia,0.0008865532,0.018170409,0.498,0.502,0.498,0.24500000000000002,False,Cldn10
