,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.036246642,0.027965289,0.904,0.096,0.096,0.096,False,Clic6
Oligodendrocyte Precursor Cells,0.012055306,0.011234172,0.854,0.146,0.146,0.121,False,Clic6
Neurons,0.0069474163,0.013813441,0.696,0.304,0.304,0.18200000000000002,False,Clic6
Myocytes,0.009593765,0.018720461,0.685,0.315,0.315,0.21525,False,Clic6
Endothelial Cells,-0.010951535,0.03061197,0.362,0.638,0.362,0.24459999999999998,False,Clic6
Excitatory Neurons,0.0042381915,0.012438465,0.63,0.37,0.37,0.2655,False,Clic6
Neural Stem Cells,0.00407116,0.021437725,0.581,0.419,0.419,0.2874285714285714,False,Clic6
Oligodendrocytes,-0.0025815072,0.010359965,0.425,0.575,0.425,0.304625,False,Clic6
Medium Spiny Neurons,0.001364568,0.009548843,0.57,0.43,0.43,0.31855555555555554,False,Clic6
Microglia,-0.0020425096,0.018051537,0.445,0.555,0.445,0.3312,False,Clic6
GABAergic Neurons,-0.0023444674,0.019516084,0.474,0.526,0.474,0.34418181818181814,False,Clic6
Astrocytes,-7.5996315e-05,0.016289353,0.517,0.483,0.483,0.35574999999999996,False,Clic6
