,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.031391893,0.008957154,0.0,1.0,0.0,0.0,True,Cntn2
Myocytes,0.03394468,0.01883952,0.965,0.035,0.035,0.0175,True,Cntn2
Oligodendrocyte Precursor Cells,0.013862582,0.01131072,0.894,0.106,0.106,0.04700000000000001,True,Cntn2
Neurons,0.009418855,0.013686532,0.757,0.243,0.243,0.096,False,Cntn2
Excitatory Neurons,0.005131857,0.012543227,0.654,0.346,0.346,0.146,False,Cntn2
Medium Spiny Neurons,0.0034137745,0.009575363,0.648,0.352,0.352,0.18033333333333332,False,Cntn2
Astrocytes,0.0043697185,0.016231453,0.632,0.368,0.368,0.2071428571428571,False,Cntn2
Endothelial Cells,-0.008293646,0.031055849,0.399,0.601,0.399,0.23112499999999997,False,Cntn2
GABAergic Neurons,0.00078861054,0.019641038,0.53,0.47,0.47,0.25766666666666665,False,Cntn2
Endocrine Cells,-0.0020393566,0.027690502,0.477,0.523,0.477,0.27959999999999996,False,Cntn2
Neural Stem Cells,0.0012865432,0.02147233,0.523,0.477,0.477,0.2975454545454545,False,Cntn2
Microglia,-0.00013206691,0.018095776,0.486,0.514,0.486,0.31325,False,Cntn2
