,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.066675514,0.019077957,0.0,1.0,0.0,0.0,True,Col1a2
Oligodendrocyte Precursor Cells,0.013391061,0.011230097,0.886,0.114,0.114,0.057,False,Col1a2
Endocrine Cells,0.029891113,0.028147848,0.851,0.149,0.149,0.08766666666666667,False,Col1a2
Neurons,0.009368429,0.013815581,0.755,0.245,0.245,0.127,False,Col1a2
Astrocytes,0.0056312764,0.016393209,0.649,0.351,0.351,0.1718,False,Col1a2
Excitatory Neurons,0.0045602145,0.012432683,0.64,0.36,0.36,0.20316666666666663,False,Col1a2
Endothelial Cells,-0.009572454,0.030649194,0.386,0.614,0.386,0.2292857142857143,False,Col1a2
Medium Spiny Neurons,0.0011554089,0.009555969,0.564,0.436,0.436,0.255125,False,Col1a2
Oligodendrocytes,-0.0013151101,0.010364377,0.466,0.534,0.466,0.27855555555555556,False,Col1a2
Microglia,-0.00089908903,0.01806312,0.468,0.532,0.468,0.2975,False,Col1a2
Neural Stem Cells,-0.0011277,0.021533657,0.468,0.532,0.468,0.313,False,Col1a2
GABAergic Neurons,-0.0013301357,0.019472612,0.496,0.504,0.496,0.32825,False,Col1a2
