,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014370233,0.011405827,0.899,0.101,0.101,0.101,False,Cpne4
Excitatory Neurons,0.015345977,0.012914424,0.874,0.126,0.126,0.1135,False,Cpne4
Myocytes,0.01253109,0.018732682,0.73,0.27,0.27,0.16566666666666666,False,Cpne4
Neurons,0.0060826126,0.013370493,0.68,0.32,0.32,0.20425,False,Cpne4
Astrocytes,0.0057330807,0.016301448,0.652,0.348,0.348,0.233,False,Cpne4
Neural Stem Cells,0.007906342,0.021502197,0.644,0.356,0.356,0.2535,False,Cpne4
Medium Spiny Neurons,-0.002538226,0.009572542,0.402,0.598,0.402,0.27471428571428574,False,Cpne4
Endothelial Cells,-0.007258096,0.031012269,0.409,0.591,0.409,0.2915,False,Cpne4
Endocrine Cells,-0.006034332,0.027703905,0.419,0.581,0.419,0.30566666666666664,False,Cpne4
GABAergic Neurons,0.0010453643,0.01996122,0.538,0.462,0.462,0.32130000000000003,False,Cpne4
Microglia,-0.0004442135,0.018146612,0.477,0.523,0.477,0.33545454545454545,False,Cpne4
Oligodendrocytes,-0.0006034948,0.010285287,0.487,0.513,0.487,0.3480833333333333,False,Cpne4
