,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.028787693,0.018823057,0.94,0.06,0.06,0.06,False,Ddah1
Oligodendrocyte Precursor Cells,0.013605086,0.01171631,0.879,0.121,0.121,0.0905,False,Ddah1
Endocrine Cells,0.023950202,0.02795664,0.805,0.195,0.195,0.12533333333333332,False,Ddah1
Neurons,0.009891628,0.013456524,0.769,0.231,0.231,0.15175,False,Ddah1
Astrocytes,0.0053532696,0.016699329,0.645,0.355,0.355,0.1924,False,Ddah1
Excitatory Neurons,0.00435562,0.012579414,0.633,0.367,0.367,0.2215,False,Ddah1
Endothelial Cells,-0.00946542,0.030741965,0.389,0.611,0.389,0.2454285714285714,False,Ddah1
Neural Stem Cells,0.004695597,0.021222811,0.594,0.406,0.406,0.2655,False,Ddah1
Medium Spiny Neurons,0.0015790733,0.009528155,0.582,0.418,0.418,0.2824444444444445,False,Ddah1
Microglia,-0.0016529175,0.018218813,0.453,0.547,0.453,0.2995,False,Ddah1
GABAergic Neurons,-0.0025255403,0.019738158,0.471,0.529,0.471,0.3150909090909091,False,Ddah1
Oligodendrocytes,-0.00017574934,0.010189108,0.505,0.495,0.495,0.33008333333333334,False,Ddah1
