,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.03866735,0.027944947,0.076,0.924,0.076,0.076,False,Dio2
Oligodendrocyte Precursor Cells,0.015336599,0.011536553,0.907,0.093,0.093,0.08449999999999999,False,Dio2
Neurons,0.01029493,0.013748778,0.77,0.23,0.23,0.133,False,Dio2
Myocytes,0.01198777,0.018744951,0.722,0.278,0.278,0.16925,False,Dio2
Neural Stem Cells,0.009486344,0.021262111,0.672,0.328,0.328,0.201,False,Dio2
Excitatory Neurons,0.0053322795,0.012558021,0.657,0.343,0.343,0.22466666666666668,False,Dio2
Astrocytes,0.0059085,0.016639248,0.654,0.346,0.346,0.242,False,Dio2
Medium Spiny Neurons,0.0025580672,0.009514657,0.622,0.378,0.378,0.259,False,Dio2
Endothelial Cells,-0.0076074717,0.030881615,0.405,0.595,0.405,0.27522222222222226,False,Dio2
Microglia,-0.00061541115,0.018168112,0.473,0.527,0.473,0.29500000000000004,False,Dio2
Oligodendrocytes,-0.00083858473,0.010287396,0.477,0.523,0.477,0.31154545454545457,False,Dio2
GABAergic Neurons,-0.0007517467,0.019635601,0.505,0.495,0.495,0.32683333333333336,False,Dio2
