,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.015054093,0.011760427,0.901,0.099,0.099,0.099,False,Edil3
Endocrine Cells,-0.018296953,0.02776929,0.259,0.741,0.259,0.179,False,Edil3
Medium Spiny Neurons,0.005121247,0.009561541,0.714,0.286,0.286,0.21466666666666664,False,Edil3
Excitatory Neurons,0.006493076,0.012732034,0.696,0.304,0.304,0.237,False,Edil3
Oligodendrocytes,-0.0050700307,0.009811844,0.317,0.683,0.317,0.253,False,Edil3
Astrocytes,0.007018465,0.016322186,0.682,0.318,0.318,0.2638333333333333,False,Edil3
Neurons,0.0058335573,0.013360288,0.673,0.327,0.327,0.27285714285714285,False,Edil3
Endothelial Cells,-0.008040724,0.03098738,0.401,0.599,0.401,0.288875,False,Edil3
Neural Stem Cells,0.0051752958,0.021312257,0.599,0.401,0.401,0.3013333333333333,False,Edil3
Myocytes,0.0017029959,0.01876736,0.548,0.452,0.452,0.31639999999999996,False,Edil3
GABAergic Neurons,-0.00028034023,0.019953778,0.51,0.49,0.49,0.3321818181818182,False,Edil3
Microglia,0.00073654944,0.018167969,0.496,0.504,0.496,0.3458333333333334,False,Edil3
