,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.028434487,0.018756231,0.064,0.936,0.064,0.064,False,Egfl7
Oligodendrocyte Precursor Cells,0.013092639,0.011277767,0.879,0.121,0.121,0.0925,False,Egfl7
Neurons,0.0101310145,0.013793333,0.769,0.231,0.231,0.1386666666666667,False,Egfl7
Endothelial Cells,-0.018057415,0.030341735,0.277,0.723,0.277,0.17325000000000002,False,Egfl7
Excitatory Neurons,0.0049436684,0.012493,0.653,0.347,0.347,0.20800000000000002,False,Egfl7
Astrocytes,0.004510947,0.016226672,0.635,0.365,0.365,0.23416666666666666,False,Egfl7
Medium Spiny Neurons,0.0016262889,0.009577411,0.585,0.415,0.415,0.26,False,Egfl7
Endocrine Cells,0.0050376747,0.02781555,0.575,0.425,0.425,0.280625,False,Egfl7
Neural Stem Cells,0.0032859934,0.021549124,0.566,0.434,0.434,0.2976666666666667,False,Egfl7
Microglia,-0.0012650525,0.018072996,0.462,0.538,0.462,0.31410000000000005,False,Egfl7
Oligodendrocytes,-0.0004508948,0.010360585,0.491,0.509,0.491,0.33018181818181824,False,Egfl7
GABAergic Neurons,-0.0008958722,0.019525183,0.502,0.498,0.498,0.34416666666666673,False,Egfl7
