,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.030166216,0.018801257,0.946,0.054,0.054,0.054,False,Etnppl
Oligodendrocyte Precursor Cells,0.016930785,0.011430119,0.931,0.069,0.069,0.0615,False,Etnppl
Astrocytes,0.020000447,0.017103424,0.879,0.121,0.121,0.08133333333333333,False,Etnppl
Neurons,0.012645906,0.013646181,0.817,0.183,0.183,0.10675,False,Etnppl
Excitatory Neurons,0.0056873173,0.012471887,0.671,0.329,0.329,0.1512,False,Etnppl
Endocrine Cells,0.011135081,0.02780182,0.661,0.339,0.339,0.1825,False,Etnppl
Medium Spiny Neurons,0.0025095171,0.009539402,0.619,0.381,0.381,0.21085714285714285,False,Etnppl
Oligodendrocytes,0.002174714,0.0102300355,0.589,0.411,0.411,0.235875,False,Etnppl
Endothelial Cells,-0.006488733,0.030892795,0.418,0.582,0.418,0.2561111111111111,False,Etnppl
Neural Stem Cells,0.0023428523,0.0213907,0.545,0.455,0.455,0.276,False,Etnppl
GABAergic Neurons,0.00020969987,0.019541197,0.522,0.478,0.478,0.2943636363636364,False,Etnppl
Microglia,0.0017186848,0.018179731,0.522,0.478,0.478,0.3096666666666667,False,Etnppl
