,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.048234086,0.028351527,0.954,0.046,0.046,0.046,True,Ezr
Oligodendrocyte Precursor Cells,0.013117952,0.011267173,0.879,0.121,0.121,0.08349999999999999,False,Ezr
Neurons,0.009437398,0.013814727,0.757,0.243,0.243,0.13666666666666666,False,Ezr
Myocytes,0.010592329,0.018746499,0.701,0.299,0.299,0.17725,False,Ezr
Excitatory Neurons,0.004784251,0.012469092,0.65,0.35,0.35,0.2118,False,Ezr
Neural Stem Cells,-0.0056372117,0.021224596,0.389,0.611,0.389,0.24133333333333332,False,Ezr
Endothelial Cells,-0.008335615,0.030902008,0.399,0.601,0.399,0.26385714285714285,False,Ezr
Astrocytes,0.0022368326,0.016539881,0.572,0.428,0.428,0.284375,False,Ezr
Medium Spiny Neurons,0.00089347234,0.009573034,0.557,0.443,0.443,0.302,False,Ezr
Microglia,-0.0017614864,0.018082323,0.453,0.547,0.453,0.3171,False,Ezr
Oligodendrocytes,-0.0011538551,0.01034213,0.469,0.531,0.469,0.3309090909090909,False,Ezr
GABAergic Neurons,-0.0017024666,0.019512491,0.488,0.512,0.488,0.34400000000000003,False,Ezr
