,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.06288339,0.018886503,1.0,0.0,0.0,0.0,True,Fam107a
Oligodendrocyte Precursor Cells,0.024085525,0.011842614,0.984,0.016,0.016,0.008,True,Fam107a
Neurons,0.020559866,0.012805074,0.945,0.055,0.055,0.02366666666666667,True,Fam107a
Astrocytes,0.029030269,0.018986965,0.933,0.067,0.067,0.0345,True,Fam107a
Endocrine Cells,0.041378316,0.028174348,0.931,0.069,0.069,0.041400000000000006,True,Fam107a
Neural Stem Cells,-0.029531498,0.019267486,0.072,0.928,0.072,0.04650000000000001,True,Fam107a
Endothelial Cells,0.025960853,0.028457832,0.821,0.179,0.179,0.06542857142857143,False,Fam107a
Oligodendrocytes,0.006993268,0.009031904,0.776,0.224,0.224,0.08525,False,Fam107a
Medium Spiny Neurons,0.0072372695,0.009611466,0.769,0.231,0.231,0.10144444444444445,False,Fam107a
Excitatory Neurons,0.0026865862,0.013466665,0.578,0.422,0.422,0.1335,False,Fam107a
GABAergic Neurons,0.001539882,0.020704366,0.544,0.456,0.456,0.1628181818181818,False,Fam107a
Microglia,0.0018214969,0.019306513,0.522,0.478,0.478,0.18908333333333335,False,Fam107a
