,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.051966198,0.018925937,0.998,0.002,0.002,0.002,True,Fbxo2
Oligodendrocyte Precursor Cells,0.014544396,0.011522521,0.899,0.101,0.101,0.051500000000000004,False,Fbxo2
Neurons,0.01057539,0.01360218,0.78,0.22,0.22,0.10766666666666667,False,Fbxo2
Astrocytes,0.004283997,0.01671817,0.628,0.372,0.372,0.17375000000000002,False,Fbxo2
Medium Spiny Neurons,0.0025118643,0.009534471,0.619,0.381,0.381,0.2152,False,Fbxo2
Excitatory Neurons,0.0037562079,0.012626302,0.609,0.391,0.391,0.24450000000000002,False,Fbxo2
Endocrine Cells,0.0068189492,0.028031874,0.604,0.396,0.396,0.2661428571428571,False,Fbxo2
Endothelial Cells,-0.0076231495,0.03080823,0.404,0.596,0.404,0.283375,False,Fbxo2
Neural Stem Cells,-0.0038499497,0.020990195,0.419,0.581,0.419,0.29844444444444446,False,Fbxo2
Microglia,-0.00043196577,0.018207211,0.477,0.523,0.477,0.31629999999999997,False,Fbxo2
Oligodendrocytes,-0.00035636593,0.010010988,0.495,0.505,0.495,0.33254545454545453,False,Fbxo2
GABAergic Neurons,-0.0009956311,0.019732375,0.502,0.498,0.498,0.3463333333333333,False,Fbxo2
