,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013315405,0.011267689,0.886,0.114,0.114,0.114,False,Fcgrt
Endocrine Cells,0.028458746,0.028032728,0.837,0.163,0.163,0.1385,False,Fcgrt
Myocytes,-0.01706538,0.018773984,0.196,0.804,0.196,0.15766666666666668,False,Fcgrt
Neurons,0.009606733,0.0138063235,0.757,0.243,0.243,0.179,False,Fcgrt
Endothelial Cells,-0.0123107135,0.030507093,0.347,0.653,0.347,0.21259999999999998,False,Fcgrt
Excitatory Neurons,0.0047130818,0.012440675,0.648,0.352,0.352,0.23583333333333334,False,Fcgrt
Astrocytes,0.0033645546,0.016361384,0.603,0.397,0.397,0.25885714285714284,False,Fcgrt
Medium Spiny Neurons,0.0016375175,0.009546529,0.585,0.415,0.415,0.278375,False,Fcgrt
Neural Stem Cells,0.0035429539,0.021504471,0.572,0.428,0.428,0.295,False,Fcgrt
Microglia,-0.00094841956,0.01814378,0.468,0.532,0.468,0.31229999999999997,False,Fcgrt
Oligodendrocytes,-0.0006691338,0.010348436,0.485,0.515,0.485,0.32799999999999996,False,Fcgrt
GABAergic Neurons,-0.0014070839,0.0194857,0.494,0.506,0.494,0.34183333333333327,False,Fcgrt
