,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Neurons,0.022911824,0.01323084,0.959,0.041,0.041,0.041,True,Gad2
Oligodendrocyte Precursor Cells,0.01835031,0.011471132,0.948,0.052,0.052,0.0465,True,Gad2
Myocytes,0.018989606,0.018781498,0.841,0.159,0.159,0.084,False,Gad2
Medium Spiny Neurons,0.007236158,0.009543441,0.771,0.229,0.229,0.12025,False,Gad2
Neural Stem Cells,0.014940275,0.021106226,0.757,0.243,0.243,0.14479999999999998,False,Gad2
Endocrine Cells,0.016127136,0.027816355,0.73,0.27,0.27,0.16566666666666666,False,Gad2
Astrocytes,0.007471203,0.016340034,0.691,0.309,0.309,0.18614285714285714,False,Gad2
Excitatory Neurons,0.0049003838,0.012482985,0.653,0.347,0.347,0.20625,False,Gad2
Oligodendrocytes,0.0026575648,0.010219775,0.606,0.394,0.394,0.22711111111111112,False,Gad2
Endothelial Cells,-0.0061545265,0.0309998,0.425,0.575,0.425,0.24689999999999998,False,Gad2
GABAergic Neurons,0.0031768281,0.021592919,0.571,0.429,0.429,0.26345454545454544,False,Gad2
Microglia,0.0012269176,0.01816788,0.508,0.492,0.492,0.2825,False,Gad2
