,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.034294814,0.009416389,0.0,1.0,0.0,0.0,True,Gng11
Myocytes,-0.02666067,0.018813603,0.078,0.922,0.078,0.039,True,Gng11
Oligodendrocyte Precursor Cells,0.011696226,0.011561265,0.836,0.164,0.164,0.08066666666666666,False,Gng11
Neurons,0.009993516,0.0137804495,0.766,0.234,0.234,0.119,False,Gng11
Endothelial Cells,-0.021074563,0.030289099,0.247,0.753,0.247,0.1446,False,Gng11
Medium Spiny Neurons,0.005633452,0.009550161,0.731,0.269,0.269,0.16533333333333333,False,Gng11
Excitatory Neurons,0.004938642,0.012441063,0.653,0.347,0.347,0.19128571428571428,False,Gng11
Astrocytes,0.0030102043,0.01635306,0.597,0.403,0.403,0.21775,False,Gng11
Neural Stem Cells,-0.0036940223,0.02138971,0.423,0.577,0.423,0.24055555555555555,False,Gng11
Endocrine Cells,-0.0055941795,0.02794652,0.424,0.576,0.424,0.2589,False,Gng11
Microglia,-0.0017494463,0.018099057,0.453,0.547,0.453,0.27654545454545454,False,Gng11
GABAergic Neurons,-0.00069159566,0.019500867,0.505,0.495,0.495,0.29475,False,Gng11
