,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.235368,0.029123923,0.0,1.0,0.0,0.0,True,Gpc4
Myocytes,-0.06434152,0.018829213,0.0,1.0,0.0,0.0,True,Gpc4
Oligodendrocyte Precursor Cells,0.011951627,0.011353725,0.849,0.151,0.151,0.050333333333333334,False,Gpc4
Neural Stem Cells,0.016776191,0.021148162,0.777,0.223,0.223,0.0935,False,Gpc4
Neurons,0.006619073,0.013743736,0.693,0.307,0.307,0.13620000000000002,False,Gpc4
Excitatory Neurons,0.0038591728,0.012598675,0.616,0.384,0.384,0.1775,False,Gpc4
Endothelial Cells,-0.009410981,0.030825049,0.39,0.61,0.39,0.20785714285714288,False,Gpc4
Astrocytes,0.0023504873,0.016414683,0.575,0.425,0.425,0.23500000000000001,False,Gpc4
Microglia,-0.0022563878,0.018073238,0.439,0.561,0.439,0.25766666666666665,False,Gpc4
Oligodendrocytes,-0.0012588798,0.010349104,0.466,0.534,0.466,0.2785,False,Gpc4
GABAergic Neurons,-0.0024495316,0.019577112,0.472,0.528,0.472,0.2960909090909091,False,Gpc4
Medium Spiny Neurons,-0.00031884701,0.009551149,0.503,0.497,0.497,0.31283333333333335,False,Gpc4
