,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.1438812,0.029421544,1.0,0.0,0.0,0.0,True,H2-D1
Microglia,0.049632434,0.019163769,0.998,0.002,0.002,0.001,True,H2-D1
Oligodendrocytes,0.025162838,0.009949702,0.994,0.006,0.006,0.0026666666666666666,True,H2-D1
Oligodendrocyte Precursor Cells,0.018088134,0.01165884,0.942,0.058,0.058,0.0165,True,H2-D1
Neurons,0.012577769,0.013720671,0.814,0.186,0.186,0.0504,False,H2-D1
Astrocytes,0.013289035,0.016633207,0.796,0.204,0.204,0.076,False,H2-D1
Medium Spiny Neurons,0.0063139624,0.0095463125,0.747,0.253,0.253,0.10128571428571428,False,H2-D1
Excitatory Neurons,0.005692427,0.012484561,0.671,0.329,0.329,0.12975,False,H2-D1
Myocytes,0.0060702777,0.019222463,0.621,0.379,0.379,0.15744444444444444,False,H2-D1
Endothelial Cells,-0.00853561,0.029563528,0.394,0.606,0.394,0.18109999999999998,False,H2-D1
Neural Stem Cells,0.0018840965,0.021122,0.534,0.466,0.466,0.20700000000000002,False,H2-D1
GABAergic Neurons,0.00010260404,0.019551089,0.519,0.481,0.481,0.22983333333333333,False,H2-D1
