,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.054985076,0.01882916,0.0,1.0,0.0,0.0,True,H2-K1
Microglia,0.029597687,0.01884978,0.943,0.057,0.057,0.0285,True,H2-K1
Oligodendrocyte Precursor Cells,0.014658775,0.011524478,0.9,0.1,0.1,0.052333333333333336,False,H2-K1
Oligodendrocytes,0.0084672095,0.010114998,0.794,0.206,0.206,0.09075,False,H2-K1
Neurons,0.011092038,0.013769841,0.787,0.213,0.213,0.1152,False,H2-K1
Neural Stem Cells,-0.014783079,0.021222059,0.237,0.763,0.237,0.13549999999999998,False,H2-K1
Endothelial Cells,-0.01479787,0.03003325,0.308,0.692,0.308,0.16014285714285714,False,H2-K1
Astrocytes,0.007181611,0.016613,0.685,0.315,0.315,0.1795,False,H2-K1
Excitatory Neurons,0.004939984,0.0124566825,0.653,0.347,0.347,0.1981111111111111,False,H2-K1
Medium Spiny Neurons,0.0013312575,0.009537891,0.57,0.43,0.43,0.2213,False,H2-K1
Endocrine Cells,0.0032089553,0.028781671,0.545,0.455,0.455,0.24254545454545456,False,H2-K1
GABAergic Neurons,-0.0010055524,0.019508922,0.501,0.499,0.499,0.2639166666666667,False,H2-K1
