,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.051680647,0.028440144,0.964,0.036,0.036,0.036,True,Hexb
Microglia,-0.0538102,0.030164462,0.04,0.96,0.04,0.038,True,Hexb
Oligodendrocyte Precursor Cells,0.015977519,0.011615295,0.915,0.085,0.085,0.05366666666666667,False,Hexb
Neurons,0.010420654,0.013657002,0.775,0.225,0.225,0.0965,False,Hexb
Medium Spiny Neurons,0.0054772045,0.009528708,0.724,0.276,0.276,0.13240000000000002,False,Hexb
Excitatory Neurons,0.0047580977,0.012566883,0.647,0.353,0.353,0.1691666666666667,False,Hexb
Endothelial Cells,-0.011190845,0.030633837,0.361,0.639,0.361,0.1965714285714286,False,Hexb
Astrocytes,0.0039262576,0.016607821,0.62,0.38,0.38,0.21950000000000003,False,Hexb
Neural Stem Cells,0.0030141799,0.021157287,0.561,0.439,0.439,0.24388888888888893,False,Hexb
Oligodendrocytes,0.0004819029,0.009989419,0.523,0.477,0.477,0.2672,False,Hexb
Myocytes,-0.0004850751,0.018826164,0.51,0.49,0.49,0.28745454545454546,False,Hexb
GABAergic Neurons,-0.00047815705,0.019678036,0.507,0.493,0.493,0.3045833333333333,False,Hexb
