,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.059497252,0.028432177,0.017,0.983,0.017,0.017,True,Hist1h2bc
Myocytes,-0.024160229,0.018864188,0.1,0.9,0.1,0.0585,False,Hist1h2bc
Oligodendrocyte Precursor Cells,0.014168161,0.011546643,0.894,0.106,0.106,0.07433333333333333,False,Hist1h2bc
Neurons,0.0096061835,0.01368932,0.758,0.242,0.242,0.11624999999999999,False,Hist1h2bc
Oligodendrocytes,-0.006866771,0.0100203715,0.248,0.752,0.248,0.1426,False,Hist1h2bc
Medium Spiny Neurons,-0.005004161,0.009493815,0.311,0.689,0.311,0.17066666666666666,False,Hist1h2bc
Neural Stem Cells,-0.007711834,0.02089969,0.348,0.652,0.348,0.19599999999999998,False,Hist1h2bc
Excitatory Neurons,0.0040560183,0.012590206,0.621,0.379,0.379,0.218875,False,Hist1h2bc
Endothelial Cells,-0.009181282,0.030512866,0.39,0.61,0.39,0.2378888888888889,False,Hist1h2bc
Astrocytes,0.0024191542,0.016784694,0.576,0.424,0.424,0.2565,False,Hist1h2bc
Microglia,-0.000952862,0.018242516,0.468,0.532,0.468,0.2757272727272727,False,Hist1h2bc
GABAergic Neurons,-0.002194359,0.019673875,0.477,0.523,0.477,0.2925,False,Hist1h2bc
