,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.07851733,0.019465953,1.0,0.0,0.0,0.0,True,Hspa5
Oligodendrocyte Precursor Cells,0.041356258,0.011811677,1.0,0.0,0.0,0.0,True,Hspa5
Endocrine Cells,-0.089357466,0.029803023,0.003,0.997,0.003,0.001,True,Hspa5
Medium Spiny Neurons,0.015507749,0.009541543,0.945,0.055,0.055,0.0145,True,Hspa5
Excitatory Neurons,0.014291555,0.013096882,0.86,0.14,0.14,0.0396,True,Hspa5
Neurons,0.013788715,0.013018762,0.851,0.149,0.149,0.05783333333333333,False,Hspa5
Oligodendrocytes,0.008570039,0.009622483,0.814,0.186,0.186,0.07614285714285714,False,Hspa5
Neural Stem Cells,0.010841574,0.020646386,0.698,0.302,0.302,0.104375,False,Hspa5
Microglia,0.008848125,0.01878261,0.685,0.315,0.315,0.12777777777777777,False,Hspa5
Astrocytes,0.0071186335,0.01687887,0.677,0.323,0.323,0.1473,False,Hspa5
GABAergic Neurons,0.0037911017,0.020461537,0.586,0.414,0.414,0.17154545454545453,False,Hspa5
Endothelial Cells,-0.0022856616,0.030114595,0.471,0.529,0.471,0.19649999999999998,False,Hspa5
