,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.031676777,0.018882459,0.952,0.048,0.048,0.048,True,Igf1r
Oligodendrocyte Precursor Cells,0.01361457,0.011407981,0.886,0.114,0.114,0.081,False,Igf1r
Neurons,0.010099811,0.013730607,0.769,0.231,0.231,0.131,False,Igf1r
Endocrine Cells,0.016817937,0.028268551,0.733,0.267,0.267,0.165,False,Igf1r
Neural Stem Cells,0.0096219005,0.021198912,0.675,0.325,0.325,0.197,False,Igf1r
Excitatory Neurons,0.005656257,0.012540928,0.667,0.333,0.333,0.21966666666666668,False,Igf1r
Astrocytes,0.0041115894,0.016328022,0.628,0.372,0.372,0.2414285714285714,False,Igf1r
Medium Spiny Neurons,0.002453395,0.009529877,0.615,0.385,0.385,0.259375,False,Igf1r
Endothelial Cells,-0.0045502144,0.030484064,0.446,0.554,0.446,0.28011111111111114,False,Igf1r
Oligodendrocytes,0.0007991834,0.010256909,0.538,0.462,0.462,0.29830000000000007,False,Igf1r
Microglia,-0.00011546165,0.018124694,0.486,0.514,0.486,0.3153636363636364,False,Igf1r
GABAergic Neurons,-0.0014214431,0.019578338,0.494,0.506,0.494,0.33025,False,Igf1r
