,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.018345917,0.0114893215,0.947,0.053,0.053,0.053,False,Igsf11
Oligodendrocytes,0.009863185,0.009739825,0.849,0.151,0.151,0.102,False,Igsf11
Neurons,0.011935946,0.013720543,0.808,0.192,0.192,0.132,False,Igsf11
Myocytes,0.014818419,0.018755859,0.775,0.225,0.225,0.15525,False,Igsf11
Excitatory Neurons,0.005970292,0.012561846,0.678,0.322,0.322,0.18860000000000002,False,Igsf11
Astrocytes,0.0063292496,0.016941616,0.661,0.339,0.339,0.21366666666666667,False,Igsf11
Neural Stem Cells,0.007182895,0.021106502,0.636,0.364,0.364,0.23514285714285713,False,Igsf11
Medium Spiny Neurons,0.0019877905,0.009486352,0.598,0.402,0.402,0.256,False,Igsf11
Endothelial Cells,-0.0066243988,0.030988112,0.415,0.585,0.415,0.27366666666666667,False,Igsf11
Endocrine Cells,-0.0010334749,0.027784511,0.495,0.505,0.495,0.2958,False,Igsf11
Microglia,0.00086916506,0.018145952,0.498,0.502,0.498,0.31418181818181823,False,Igsf11
GABAergic Neurons,-0.0010937687,0.019867115,0.5,0.5,0.5,0.3296666666666667,False,Igsf11
