,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.03831326,0.010223709,0.0,1.0,0.0,0.0,True,Il33
Endocrine Cells,0.037397426,0.02786207,0.911,0.089,0.089,0.0445,True,Il33
Oligodendrocyte Precursor Cells,0.01373028,0.011291427,0.89,0.11,0.11,0.06633333333333334,False,Il33
Medium Spiny Neurons,0.008216503,0.009584187,0.797,0.203,0.203,0.1005,False,Il33
Neurons,0.010563295,0.0137980245,0.776,0.224,0.224,0.1252,False,Il33
Excitatory Neurons,0.004666101,0.012466363,0.644,0.356,0.356,0.16366666666666665,False,Il33
Myocytes,0.0069295242,0.018746292,0.64,0.36,0.36,0.19171428571428573,False,Il33
Endothelial Cells,-0.008435631,0.030970193,0.398,0.602,0.398,0.21750000000000003,False,Il33
Astrocytes,0.0029220018,0.016422434,0.593,0.407,0.407,0.23855555555555558,False,Il33
Microglia,-0.0016208134,0.018089779,0.453,0.547,0.453,0.26,False,Il33
Neural Stem Cells,0.0013002902,0.021563975,0.524,0.476,0.476,0.2796363636363636,False,Il33
GABAergic Neurons,-0.0012603935,0.019521007,0.496,0.504,0.496,0.2976666666666667,False,Il33
