,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0138187865,0.011229633,0.894,0.106,0.106,0.106,False,Isg15
Neurons,0.009471226,0.013819778,0.757,0.243,0.243,0.1745,False,Isg15
Astrocytes,0.005449011,0.016219022,0.649,0.351,0.351,0.2333333333333333,False,Isg15
Excitatory Neurons,0.0047375285,0.01243133,0.649,0.351,0.351,0.26275,False,Isg15
Endothelial Cells,-0.0074943025,0.030923173,0.407,0.593,0.407,0.29159999999999997,False,Isg15
Myocytes,0.0042677177,0.018718833,0.59,0.41,0.41,0.3113333333333333,False,Isg15
Neural Stem Cells,0.00428294,0.021553129,0.585,0.415,0.415,0.3261428571428571,False,Isg15
Medium Spiny Neurons,0.00073000946,0.009553065,0.555,0.445,0.445,0.34099999999999997,False,Isg15
Microglia,-0.00055563444,0.018075744,0.473,0.527,0.473,0.35566666666666663,False,Isg15
Oligodendrocytes,-0.00054847164,0.010368996,0.488,0.512,0.488,0.36889999999999995,False,Isg15
Endocrine Cells,-0.0003782762,0.027780253,0.509,0.491,0.491,0.37999999999999995,False,Isg15
GABAergic Neurons,-0.0013720953,0.019471487,0.496,0.504,0.496,0.38966666666666666,False,Isg15
