,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.051291753,0.019039024,0.001,0.999,0.001,0.001,True,Itgb1
Oligodendrocyte Precursor Cells,0.014071715,0.011773861,0.886,0.114,0.114,0.0575,False,Itgb1
Neurons,0.011389157,0.013618587,0.798,0.202,0.202,0.10566666666666667,False,Itgb1
Endocrine Cells,-0.020782512,0.02867354,0.236,0.764,0.236,0.13824999999999998,False,Itgb1
Oligodendrocytes,0.0065441076,0.009921199,0.747,0.253,0.253,0.16119999999999998,False,Itgb1
Neural Stem Cells,0.009998422,0.02101161,0.681,0.319,0.319,0.1875,False,Itgb1
Astrocytes,0.0051664934,0.016534531,0.645,0.355,0.355,0.21142857142857144,False,Itgb1
Excitatory Neurons,0.0044745747,0.012570608,0.639,0.361,0.361,0.230125,False,Itgb1
Endothelial Cells,-0.009989692,0.029943442,0.378,0.622,0.378,0.24655555555555553,False,Itgb1
Medium Spiny Neurons,0.0024225286,0.009513391,0.614,0.386,0.386,0.2605,False,Itgb1
Microglia,-0.0008118026,0.01852531,0.469,0.531,0.469,0.27945454545454546,False,Itgb1
GABAergic Neurons,-0.0013377854,0.019681124,0.496,0.504,0.496,0.2975,False,Itgb1
