,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.015000972,0.011328903,0.907,0.093,0.093,0.093,False,Kcnab3
Neurons,0.009952112,0.013689823,0.766,0.234,0.234,0.1635,False,Kcnab3
Myocytes,0.008678256,0.018733876,0.674,0.326,0.326,0.21766666666666667,False,Kcnab3
Endocrine Cells,0.01073062,0.027805299,0.655,0.345,0.345,0.2495,False,Kcnab3
Astrocytes,0.00451035,0.016238255,0.635,0.365,0.365,0.2726,False,Kcnab3
Neural Stem Cells,0.0064628627,0.021537552,0.627,0.373,0.373,0.28933333333333333,False,Kcnab3
Endothelial Cells,-0.007835101,0.031049281,0.402,0.598,0.402,0.30542857142857144,False,Kcnab3
Medium Spiny Neurons,0.000539651,0.009542588,0.547,0.453,0.453,0.32387499999999997,False,Kcnab3
Excitatory Neurons,0.0013483267,0.012690854,0.542,0.458,0.458,0.3387777777777778,False,Kcnab3
Microglia,-0.00088139315,0.018098418,0.468,0.532,0.468,0.3517,False,Kcnab3
GABAergic Neurons,0.0002872824,0.020104235,0.524,0.476,0.476,0.363,False,Kcnab3
Oligodendrocytes,-0.0006745472,0.01032309,0.485,0.515,0.485,0.37316666666666665,False,Kcnab3
