,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013794832,0.011305085,0.892,0.108,0.108,0.108,False,Kitl
Neurons,0.006823404,0.0136587005,0.695,0.305,0.305,0.2065,False,Kitl
Endothelial Cells,-0.012538374,0.030646285,0.345,0.655,0.345,0.25266666666666665,False,Kitl
Astrocytes,0.0039871437,0.016237793,0.626,0.374,0.374,0.28300000000000003,False,Kitl
Endocrine Cells,0.0073072794,0.02784579,0.611,0.389,0.389,0.3042,False,Kitl
Excitatory Neurons,0.0037291185,0.01252438,0.609,0.391,0.391,0.3186666666666667,False,Kitl
Neural Stem Cells,0.004726318,0.021502333,0.593,0.407,0.407,0.3312857142857143,False,Kitl
Myocytes,-0.003597877,0.01877562,0.437,0.563,0.437,0.3445,False,Kitl
Microglia,-0.001173,0.018114362,0.465,0.535,0.465,0.35788888888888887,False,Kitl
Oligodendrocytes,-0.000887621,0.010338043,0.477,0.523,0.477,0.36979999999999996,False,Kitl
Medium Spiny Neurons,-0.00018563855,0.009527486,0.513,0.487,0.487,0.38045454545454543,False,Kitl
GABAergic Neurons,-0.0016324262,0.019530313,0.491,0.509,0.491,0.3896666666666666,False,Kitl
