,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012684446,0.011219572,0.874,0.126,0.126,0.126,False,Kl
Myocytes,0.013282105,0.018722817,0.749,0.251,0.251,0.1885,False,Kl
Neurons,0.0072765015,0.013830192,0.7,0.3,0.3,0.22566666666666668,False,Kl
Excitatory Neurons,0.004511747,0.012442932,0.639,0.361,0.361,0.2595,False,Kl
Endocrine Cells,-0.0089611495,0.027713379,0.384,0.616,0.384,0.28440000000000004,False,Kl
Endothelial Cells,-0.008792711,0.030403579,0.394,0.606,0.394,0.3026666666666667,False,Kl
Astrocytes,0.00220813,0.016234195,0.573,0.427,0.427,0.32042857142857145,False,Kl
Oligodendrocytes,-0.0022770658,0.010368773,0.435,0.565,0.435,0.33475000000000005,False,Kl
Microglia,-0.0018479355,0.018046686,0.451,0.549,0.451,0.34766666666666673,False,Kl
Neural Stem Cells,0.0025667879,0.02151566,0.549,0.451,0.451,0.35800000000000004,False,Kl
Medium Spiny Neurons,-0.0009771917,0.009582189,0.476,0.524,0.476,0.3687272727272728,False,Kl
GABAergic Neurons,-0.0019320186,0.019477494,0.482,0.518,0.482,0.37816666666666676,False,Kl
