,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.03885438,0.01893923,0.985,0.015,0.015,0.015,True,Lbh
Neurons,0.012092349,0.013292945,0.812,0.188,0.188,0.1015,False,Lbh
Oligodendrocyte Precursor Cells,0.008700822,0.011840174,0.764,0.236,0.236,0.14633333333333334,False,Lbh
Neural Stem Cells,-0.010754872,0.020954773,0.292,0.708,0.292,0.18275,False,Lbh
Excitatory Neurons,0.00566445,0.012538812,0.667,0.333,0.333,0.21280000000000002,False,Lbh
Medium Spiny Neurons,0.0038976527,0.009563709,0.663,0.337,0.337,0.2335,False,Lbh
Astrocytes,0.0046300385,0.016620278,0.636,0.364,0.364,0.25214285714285717,False,Lbh
Endothelial Cells,-0.009638013,0.030484136,0.383,0.617,0.383,0.2685,False,Lbh
Oligodendrocytes,-0.003415826,0.010010054,0.397,0.603,0.397,0.2827777777777778,False,Lbh
Endocrine Cells,0.0023419342,0.027911326,0.538,0.462,0.462,0.3007,False,Lbh
Microglia,-0.0009950895,0.018241534,0.467,0.533,0.467,0.31581818181818183,False,Lbh
GABAergic Neurons,3.802041e-05,0.020344036,0.519,0.481,0.481,0.32958333333333334,False,Lbh
