,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.027045082,0.018753473,0.926,0.074,0.074,0.074,False,Lypd1
Oligodendrocyte Precursor Cells,0.012195575,0.011439466,0.852,0.148,0.148,0.11099999999999999,False,Lypd1
Neurons,0.0092006875,0.013656817,0.753,0.247,0.247,0.15633333333333332,False,Lypd1
Astrocytes,0.004445182,0.016245818,0.635,0.365,0.365,0.2085,False,Lypd1
Endothelial Cells,-0.007949471,0.031048791,0.401,0.599,0.401,0.24699999999999997,False,Lypd1
Microglia,-0.002845987,0.018089093,0.429,0.571,0.429,0.2773333333333333,False,Lypd1
Neural Stem Cells,0.0033397446,0.021540085,0.567,0.433,0.433,0.29957142857142854,False,Lypd1
GABAergic Neurons,-0.0034359945,0.019840809,0.446,0.554,0.446,0.317875,False,Lypd1
Excitatory Neurons,0.0015678131,0.012633726,0.549,0.451,0.451,0.33266666666666667,False,Lypd1
Medium Spiny Neurons,0.00038691502,0.00951332,0.541,0.459,0.459,0.34530000000000005,False,Lypd1
Oligodendrocytes,-0.0009528901,0.0103251245,0.474,0.526,0.474,0.35700000000000004,False,Lypd1
Endocrine Cells,1.6281363e-05,0.027770534,0.511,0.489,0.489,0.36800000000000005,False,Lypd1
