,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0135954255,0.011472469,0.886,0.114,0.114,0.114,False,Maoa
Neurons,0.00889069,0.01365845,0.741,0.259,0.259,0.1865,False,Maoa
Endothelial Cells,-0.01575011,0.030670723,0.303,0.697,0.303,0.2253333333333333,False,Maoa
Excitatory Neurons,0.0047114147,0.012502204,0.647,0.353,0.353,0.25725,False,Maoa
Astrocytes,0.0033081016,0.016416682,0.603,0.397,0.397,0.2852,False,Maoa
Myocytes,0.004375325,0.018736104,0.591,0.409,0.409,0.30583333333333335,False,Maoa
Medium Spiny Neurons,0.0007761727,0.009566019,0.555,0.445,0.445,0.3257142857142857,False,Maoa
Neural Stem Cells,0.0023934308,0.021437503,0.545,0.455,0.455,0.341875,False,Maoa
Endocrine Cells,0.003004217,0.027815873,0.544,0.456,0.456,0.3545555555555555,False,Maoa
Oligodendrocytes,-0.0015368285,0.01021537,0.456,0.544,0.456,0.36469999999999997,False,Maoa
Microglia,-0.0013047096,0.018098863,0.462,0.538,0.462,0.37354545454545457,False,Maoa
GABAergic Neurons,-0.001599512,0.019610139,0.491,0.509,0.491,0.3833333333333333,False,Maoa
