,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.23116864,0.030103156,0.0,1.0,0.0,0.0,True,Meg3
Myocytes,0.595955,0.021404145,1.0,0.0,0.0,0.0,True,Meg3
Neural Stem Cells,0.07562807,0.018818645,1.0,0.0,0.0,0.0,True,Meg3
Oligodendrocyte Precursor Cells,0.029356949,0.011808717,0.994,0.006,0.006,0.0015,True,Meg3
Oligodendrocytes,0.017149381,0.009703467,0.964,0.036,0.036,0.0084,True,Meg3
Astrocytes,0.019062059,0.01663646,0.873,0.127,0.127,0.028166666666666663,True,Meg3
Excitatory Neurons,-0.013602947,0.01687173,0.225,0.775,0.225,0.056285714285714286,False,Meg3
Neurons,0.006337266,0.011353601,0.715,0.285,0.285,0.084875,False,Meg3
Microglia,0.010229561,0.01853314,0.708,0.292,0.292,0.1078888888888889,False,Meg3
GABAergic Neurons,0.0071083168,0.026252791,0.62,0.38,0.38,0.1351,False,Meg3
Endothelial Cells,0.0022184644,0.030735942,0.532,0.468,0.468,0.16536363636363635,False,Meg3
Medium Spiny Neurons,0.00018811843,0.011738663,0.527,0.473,0.473,0.19099999999999998,False,Meg3
