,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.096644364,0.010019351,0.0,1.0,0.0,0.0,True,Mog
Oligodendrocyte Precursor Cells,0.010956168,0.011283218,0.832,0.168,0.168,0.084,False,Mog
Myocytes,0.013923372,0.01876519,0.758,0.242,0.242,0.1366666666666667,False,Mog
Neurons,0.0076008225,0.013803793,0.712,0.288,0.288,0.1745,False,Mog
Medium Spiny Neurons,0.0050036516,0.00959659,0.711,0.289,0.289,0.19739999999999996,False,Mog
Excitatory Neurons,0.0043384465,0.012449249,0.635,0.365,0.365,0.2253333333333333,False,Mog
Endothelial Cells,-0.010095343,0.0310356,0.382,0.618,0.382,0.24771428571428572,False,Mog
Microglia,-0.0046932856,0.018080367,0.389,0.611,0.389,0.265375,False,Mog
Endocrine Cells,-0.00505341,0.027668145,0.431,0.569,0.431,0.2837777777777778,False,Mog
Astrocytes,0.0020299184,0.016255166,0.568,0.432,0.432,0.29860000000000003,False,Mog
Neural Stem Cells,0.0016466358,0.021467127,0.529,0.471,0.471,0.3142727272727273,False,Mog
GABAergic Neurons,-0.0013243097,0.0195121,0.496,0.504,0.496,0.3294166666666667,False,Mog
