,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.015667649,0.01129961,0.918,0.082,0.082,0.082,False,Mtus1
Neurons,0.010484033,0.013750182,0.775,0.225,0.225,0.1535,False,Mtus1
Myocytes,-0.012982671,0.018752841,0.249,0.751,0.249,0.18533333333333335,False,Mtus1
Astrocytes,0.0058853007,0.01630245,0.659,0.341,0.341,0.22425,False,Mtus1
Excitatory Neurons,0.00501231,0.012455158,0.654,0.346,0.346,0.2486,False,Mtus1
Endocrine Cells,0.010322912,0.027919682,0.652,0.348,0.348,0.2651666666666666,False,Mtus1
Neural Stem Cells,0.008277929,0.021412907,0.651,0.349,0.349,0.2771428571428571,False,Mtus1
Medium Spiny Neurons,0.0030479194,0.009536536,0.641,0.359,0.359,0.28737499999999994,False,Mtus1
Endothelial Cells,-0.00810424,0.030806446,0.4,0.6,0.4,0.2998888888888888,False,Mtus1
Microglia,-0.004175278,0.018191772,0.404,0.596,0.404,0.3102999999999999,False,Mtus1
Oligodendrocytes,-0.002796462,0.010190315,0.415,0.585,0.415,0.3198181818181818,False,Mtus1
GABAergic Neurons,0.0002054786,0.019542472,0.522,0.478,0.478,0.33299999999999996,False,Mtus1
