,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.011735657,0.009876338,0.108,0.892,0.108,0.108,False,Myo1d
Oligodendrocyte Precursor Cells,0.013385167,0.011247313,0.886,0.114,0.114,0.111,False,Myo1d
Endocrine Cells,0.030543555,0.028061075,0.858,0.142,0.142,0.12133333333333333,False,Myo1d
Neurons,0.009324363,0.01380622,0.753,0.247,0.247,0.15275,False,Myo1d
Excitatory Neurons,0.004738881,0.012442652,0.649,0.351,0.351,0.1924,False,Myo1d
Astrocytes,0.0039182613,0.016214421,0.622,0.378,0.378,0.2233333333333333,False,Myo1d
Myocytes,-0.005533043,0.01871525,0.378,0.622,0.378,0.2454285714285714,False,Myo1d
Endothelial Cells,-0.007602264,0.030876065,0.405,0.595,0.405,0.265375,False,Myo1d
Neural Stem Cells,0.0044222963,0.021518754,0.587,0.413,0.413,0.2817777777777778,False,Myo1d
Medium Spiny Neurons,0.0007909348,0.0095480895,0.555,0.445,0.445,0.2981,False,Myo1d
Microglia,-0.0016807376,0.01806455,0.453,0.547,0.453,0.31218181818181817,False,Myo1d
GABAergic Neurons,-0.0012007586,0.01949022,0.498,0.502,0.498,0.3276666666666666,False,Myo1d
