,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012993213,0.0112991845,0.877,0.123,0.123,0.123,False,Neurod6
Excitatory Neurons,0.010441026,0.012979397,0.787,0.213,0.213,0.16799999999999998,False,Neurod6
Neurons,0.008777091,0.01382634,0.735,0.265,0.265,0.20033333333333334,False,Neurod6
Astrocytes,0.0041988064,0.016230695,0.63,0.37,0.37,0.24275,False,Neurod6
Myocytes,0.0056500095,0.018710153,0.619,0.381,0.381,0.2704,False,Neurod6
Endothelial Cells,-0.0074411337,0.031056084,0.407,0.593,0.407,0.29316666666666663,False,Neurod6
Neural Stem Cells,0.0034642643,0.021561278,0.568,0.432,0.432,0.313,False,Neurod6
Medium Spiny Neurons,-0.0015083853,0.009586929,0.443,0.557,0.443,0.32925,False,Neurod6
Microglia,-0.0014642482,0.018095365,0.46,0.54,0.46,0.34377777777777774,False,Neurod6
Endocrine Cells,0.0020684258,0.027714318,0.538,0.462,0.462,0.3556,False,Neurod6
Oligodendrocytes,-0.0013556761,0.010333247,0.464,0.536,0.464,0.3654545454545455,False,Neurod6
GABAergic Neurons,-0.0010367061,0.019526651,0.5,0.5,0.5,0.3766666666666667,False,Neurod6
