,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014514098,0.011286839,0.901,0.099,0.099,0.099,False,Notch2
Endocrine Cells,0.027579179,0.028155575,0.825,0.175,0.175,0.137,False,Notch2
Neurons,0.009803061,0.0137940645,0.761,0.239,0.239,0.171,False,Notch2
Excitatory Neurons,0.0050149746,0.012447922,0.654,0.346,0.346,0.21475,False,Notch2
Endothelial Cells,-0.006225676,0.03076703,0.423,0.577,0.423,0.2564,False,Notch2
Neural Stem Cells,-0.0035523013,0.021145022,0.424,0.576,0.424,0.2843333333333333,False,Notch2
Astrocytes,0.002262739,0.016543664,0.573,0.427,0.427,0.3047142857142857,False,Notch2
Medium Spiny Neurons,0.0013117541,0.009541856,0.57,0.43,0.43,0.320375,False,Notch2
Myocytes,-0.002832873,0.018748911,0.455,0.545,0.455,0.33533333333333337,False,Notch2
Microglia,0.0016312087,0.018275246,0.519,0.481,0.481,0.3499,False,Notch2
Oligodendrocytes,-0.00038761133,0.010319974,0.493,0.507,0.493,0.3629090909090909,False,Notch2
GABAergic Neurons,-0.0006845885,0.01950153,0.505,0.495,0.495,0.3739166666666667,False,Notch2
