,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.051598866,0.018955974,0.998,0.002,0.002,0.002,True,Nsmf
Oligodendrocytes,-0.016819844,0.008863385,0.027,0.973,0.027,0.014499999999999999,True,Nsmf
Neurons,0.018169064,0.012399845,0.935,0.065,0.065,0.03133333333333333,True,Nsmf
Endothelial Cells,-0.013444394,0.030021232,0.328,0.672,0.328,0.10550000000000001,False,Nsmf
Astrocytes,0.00660138,0.017391443,0.665,0.335,0.335,0.15140000000000003,False,Nsmf
Medium Spiny Neurons,-0.0033218001,0.009500941,0.378,0.622,0.378,0.1891666666666667,False,Nsmf
Oligodendrocyte Precursor Cells,0.0033421274,0.01185099,0.619,0.381,0.381,0.2165714285714286,False,Nsmf
Excitatory Neurons,0.0042232885,0.013869421,0.616,0.384,0.384,0.23750000000000004,False,Nsmf
Microglia,-0.0036212537,0.019089766,0.421,0.579,0.421,0.2578888888888889,False,Nsmf
Neural Stem Cells,0.0031348364,0.020655949,0.566,0.434,0.434,0.2755,False,Nsmf
Endocrine Cells,-0.003578154,0.028045299,0.454,0.546,0.454,0.2917272727272728,False,Nsmf
GABAergic Neurons,-0.0017644892,0.020842403,0.491,0.509,0.491,0.3083333333333334,False,Nsmf
