,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.037367184,0.018882468,0.978,0.022,0.022,0.022,True,Ntsr2
Oligodendrocyte Precursor Cells,0.017869137,0.011818506,0.939,0.061,0.061,0.041499999999999995,True,Ntsr2
Neurons,0.015967669,0.0131792445,0.888,0.112,0.112,0.065,False,Ntsr2
Medium Spiny Neurons,0.008694711,0.009487602,0.816,0.184,0.184,0.09475,False,Ntsr2
Excitatory Neurons,0.009342218,0.012789705,0.767,0.233,0.233,0.1224,False,Ntsr2
Oligodendrocytes,0.004458287,0.009684389,0.685,0.315,0.315,0.1545,False,Ntsr2
Endothelial Cells,-0.012625234,0.030002326,0.338,0.662,0.338,0.18071428571428574,False,Ntsr2
Astrocytes,-0.007492611,0.018528998,0.349,0.651,0.349,0.20175,False,Ntsr2
Neural Stem Cells,-0.0055932244,0.020822734,0.387,0.613,0.387,0.22233333333333338,False,Ntsr2
Microglia,0.004898988,0.018644996,0.604,0.396,0.396,0.23970000000000002,False,Ntsr2
GABAergic Neurons,0.0032958542,0.019971207,0.576,0.424,0.424,0.2564545454545455,False,Ntsr2
Endocrine Cells,-0.00062632724,0.027767723,0.504,0.496,0.496,0.2764166666666667,False,Ntsr2
