,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Microglia,-0.203715,0.026636995,0.0,1.0,0.0,0.0,True,P2ry12
Oligodendrocyte Precursor Cells,0.012556802,0.011382243,0.866,0.134,0.134,0.067,False,P2ry12
Neurons,0.008685361,0.0137766255,0.733,0.267,0.267,0.13366666666666668,False,P2ry12
Endothelial Cells,-0.012009538,0.03092844,0.352,0.648,0.352,0.18825,False,P2ry12
Oligodendrocytes,-0.0044301143,0.010234644,0.354,0.646,0.354,0.22139999999999999,False,P2ry12
Excitatory Neurons,0.004137059,0.012503673,0.626,0.374,0.374,0.24683333333333332,False,P2ry12
Myocytes,0.0054200017,0.01871549,0.612,0.388,0.388,0.26699999999999996,False,P2ry12
Endocrine Cells,0.0056645297,0.027748935,0.59,0.41,0.41,0.284875,False,P2ry12
Astrocytes,0.0027409187,0.016341388,0.588,0.412,0.412,0.299,False,P2ry12
Medium Spiny Neurons,0.0013155026,0.009542553,0.57,0.43,0.43,0.3121,False,P2ry12
Neural Stem Cells,0.0018898695,0.021450957,0.533,0.467,0.467,0.3261818181818182,False,P2ry12
GABAergic Neurons,-0.0007447108,0.019567145,0.505,0.495,0.495,0.34025,False,P2ry12
