,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.079633474,0.018771317,0.0,1.0,0.0,0.0,True,Padi2
Oligodendrocyte Precursor Cells,0.01349977,0.01127385,0.888,0.112,0.112,0.056,False,Padi2
Neurons,0.009993612,0.013813399,0.765,0.235,0.235,0.11566666666666665,False,Padi2
Excitatory Neurons,0.0047461065,0.012447434,0.649,0.351,0.351,0.1745,False,Padi2
Endocrine Cells,0.0070097507,0.027733104,0.608,0.392,0.392,0.21799999999999997,False,Padi2
Endothelial Cells,-0.007843876,0.031025868,0.402,0.598,0.402,0.24866666666666667,False,Padi2
Oligodendrocytes,-0.0029061625,0.010181449,0.411,0.589,0.411,0.27185714285714285,False,Padi2
Astrocytes,0.0023014627,0.016432239,0.574,0.426,0.426,0.291125,False,Padi2
Medium Spiny Neurons,0.0013706571,0.009583482,0.57,0.43,0.43,0.3065555555555556,False,Padi2
Microglia,-0.00058779045,0.018152187,0.473,0.527,0.473,0.32320000000000004,False,Padi2
GABAergic Neurons,-0.0013177796,0.019489462,0.496,0.504,0.496,0.33890909090909094,False,Padi2
Neural Stem Cells,0.00025326083,0.021459838,0.502,0.498,0.498,0.3521666666666667,False,Padi2
