,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.054477695,0.028533185,0.969,0.031,0.031,0.031,True,Parvb
Oligodendrocyte Precursor Cells,0.013679919,0.011369803,0.888,0.112,0.112,0.07150000000000001,False,Parvb
Myocytes,-0.021941325,0.01876849,0.122,0.878,0.122,0.08833333333333333,False,Parvb
Neurons,0.007969228,0.013668584,0.721,0.279,0.279,0.136,False,Parvb
Excitatory Neurons,0.0054354505,0.01249144,0.661,0.339,0.339,0.1766,False,Parvb
Oligodendrocytes,0.0031298867,0.010094282,0.625,0.375,0.375,0.20966666666666667,False,Parvb
Endothelial Cells,-0.009640655,0.03046817,0.383,0.617,0.383,0.23442857142857143,False,Parvb
Medium Spiny Neurons,0.0021135837,0.009558819,0.599,0.401,0.401,0.25525,False,Parvb
Astrocytes,0.0022400217,0.016419057,0.573,0.427,0.427,0.2743333333333333,False,Parvb
Neural Stem Cells,0.0023837648,0.021444142,0.545,0.455,0.455,0.2924,False,Parvb
Microglia,-0.00013321734,0.018151946,0.486,0.514,0.486,0.31,False,Parvb
GABAergic Neurons,-0.0015276392,0.019552816,0.492,0.508,0.492,0.32516666666666666,False,Parvb
