,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013842034,0.011323244,0.893,0.107,0.107,0.107,False,Pde8a
Oligodendrocytes,-0.010337013,0.009814929,0.135,0.865,0.135,0.121,False,Pde8a
Myocytes,0.019814733,0.01879742,0.852,0.148,0.148,0.13,False,Pde8a
Neurons,0.009652668,0.013805023,0.758,0.242,0.242,0.158,False,Pde8a
Excitatory Neurons,0.0046399934,0.01243889,0.643,0.357,0.357,0.1978,False,Pde8a
Astrocytes,0.0038291817,0.016236614,0.62,0.38,0.38,0.22816666666666666,False,Pde8a
Endothelial Cells,-0.0081317015,0.030939942,0.4,0.6,0.4,0.2527142857142857,False,Pde8a
Neural Stem Cells,0.0050881435,0.0215173,0.595,0.405,0.405,0.27175000000000005,False,Pde8a
Medium Spiny Neurons,0.0014545538,0.009549711,0.576,0.424,0.424,0.2886666666666667,False,Pde8a
Microglia,-0.0011111842,0.018084554,0.466,0.534,0.466,0.30640000000000006,False,Pde8a
Endocrine Cells,-0.0017939584,0.027827026,0.483,0.517,0.483,0.3224545454545455,False,Pde8a
GABAergic Neurons,-0.0010638469,0.019493937,0.5,0.5,0.5,0.33725000000000005,False,Pde8a
