,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.028344754,0.027977943,0.836,0.164,0.164,0.164,False,Pdgfra
Neurons,0.009850138,0.013781436,0.763,0.237,0.237,0.2005,False,Pdgfra
Neural Stem Cells,0.008883102,0.021493986,0.659,0.341,0.341,0.24733333333333332,False,Pdgfra
Excitatory Neurons,0.004579536,0.012446878,0.64,0.36,0.36,0.27549999999999997,False,Pdgfra
Astrocytes,0.0044143964,0.016264126,0.633,0.367,0.367,0.29379999999999995,False,Pdgfra
Endothelial Cells,-0.007471295,0.030918572,0.407,0.593,0.407,0.31266666666666665,False,Pdgfra
Myocytes,0.004036384,0.018750431,0.588,0.412,0.412,0.32685714285714285,False,Pdgfra
Oligodendrocytes,-0.0017444205,0.010331064,0.448,0.552,0.448,0.34199999999999997,False,Pdgfra
Medium Spiny Neurons,0.00056182547,0.00954798,0.548,0.452,0.452,0.3542222222222222,False,Pdgfra
Oligodendrocyte Precursor Cells,0.001322198,0.012261033,0.544,0.456,0.456,0.36439999999999995,False,Pdgfra
Microglia,-0.00073976314,0.018087327,0.47,0.53,0.47,0.374,False,Pdgfra
GABAergic Neurons,-0.0015184471,0.019508908,0.492,0.508,0.492,0.3838333333333333,False,Pdgfra
