,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013466579,0.011243448,0.888,0.112,0.112,0.112,False,Pdgfrb
Neurons,0.009728176,0.0138290385,0.759,0.241,0.241,0.1765,False,Pdgfrb
Endothelial Cells,-0.016556155,0.030410405,0.293,0.707,0.293,0.2153333333333333,False,Pdgfrb
Excitatory Neurons,0.005108906,0.012446115,0.654,0.346,0.346,0.24799999999999997,False,Pdgfrb
Endocrine Cells,0.008861328,0.027817491,0.635,0.365,0.365,0.2714,False,Pdgfrb
Medium Spiny Neurons,0.0016875681,0.009581373,0.586,0.414,0.414,0.29516666666666663,False,Pdgfrb
Myocytes,-0.0029726247,0.018803077,0.45,0.55,0.45,0.3172857142857142,False,Pdgfrb
Microglia,-0.0010605613,0.018073572,0.466,0.534,0.466,0.335875,False,Pdgfrb
Oligodendrocytes,-0.0008246731,0.010361782,0.478,0.522,0.478,0.3516666666666667,False,Pdgfrb
Astrocytes,3.489412e-05,0.016420381,0.519,0.481,0.481,0.3646,False,Pdgfrb
Neural Stem Cells,-0.0003599937,0.02151381,0.49,0.51,0.49,0.376,False,Pdgfrb
GABAergic Neurons,-0.0009971488,0.019484775,0.501,0.499,0.499,0.38625,False,Pdgfrb
