,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.036128998,0.018757956,0.027,0.973,0.027,0.027,True,Pecam1
Oligodendrocyte Precursor Cells,0.01321388,0.011268678,0.883,0.117,0.117,0.07200000000000001,False,Pecam1
Neurons,0.009846961,0.013811123,0.763,0.237,0.237,0.127,False,Pecam1
Endothelial Cells,-0.013148654,0.030251184,0.334,0.666,0.334,0.17875000000000002,False,Pecam1
Excitatory Neurons,0.0049917675,0.012435614,0.654,0.346,0.346,0.2122,False,Pecam1
Astrocytes,0.0043302192,0.01622067,0.632,0.368,0.368,0.23816666666666664,False,Pecam1
Medium Spiny Neurons,0.0014312214,0.009546707,0.574,0.426,0.426,0.26499999999999996,False,Pecam1
Microglia,-0.0028216746,0.018081436,0.429,0.571,0.429,0.2855,False,Pecam1
Neural Stem Cells,0.002744872,0.02155935,0.553,0.447,0.447,0.3034444444444444,False,Pecam1
Endocrine Cells,0.0033342983,0.02785022,0.548,0.452,0.452,0.31829999999999997,False,Pecam1
Oligodendrocytes,-0.0006231927,0.010361064,0.487,0.513,0.487,0.3336363636363636,False,Pecam1
GABAergic Neurons,-0.0011464274,0.019478217,0.499,0.501,0.499,0.34741666666666665,False,Pecam1
