,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.03516941,0.028299885,0.896,0.104,0.104,0.104,False,Plxnb2
Oligodendrocyte Precursor Cells,0.013985766,0.011535542,0.89,0.11,0.11,0.107,False,Plxnb2
Myocytes,0.021085769,0.018821517,0.867,0.133,0.133,0.11566666666666665,False,Plxnb2
Neurons,0.009366637,0.013721053,0.757,0.243,0.243,0.1475,False,Plxnb2
Excitatory Neurons,0.0050816014,0.012505256,0.654,0.346,0.346,0.18719999999999998,False,Plxnb2
Endothelial Cells,-0.010612731,0.030704815,0.367,0.633,0.367,0.21716666666666665,False,Plxnb2
Medium Spiny Neurons,0.0016285792,0.009565195,0.585,0.415,0.415,0.2454285714285714,False,Plxnb2
Astrocytes,0.0023520107,0.01653944,0.575,0.425,0.425,0.267875,False,Plxnb2
Oligodendrocytes,0.00081748224,0.010280997,0.538,0.462,0.462,0.28944444444444445,False,Plxnb2
Microglia,-0.001029336,0.018675713,0.467,0.533,0.467,0.30720000000000003,False,Plxnb2
Neural Stem Cells,0.0010698859,0.020807756,0.52,0.48,0.48,0.3229090909090909,False,Plxnb2
GABAergic Neurons,-0.0013528358,0.019567199,0.496,0.504,0.496,0.3373333333333333,False,Plxnb2
