,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.029145826,0.018739427,0.057,0.943,0.057,0.057,False,Podxl
Oligodendrocyte Precursor Cells,0.013073409,0.011275023,0.879,0.121,0.121,0.089,False,Podxl
Neurons,0.009921092,0.013801462,0.764,0.236,0.236,0.13799999999999998,False,Podxl
Endothelial Cells,-0.012527602,0.030080048,0.342,0.658,0.342,0.189,False,Podxl
Excitatory Neurons,0.005220539,0.012455814,0.655,0.345,0.345,0.2202,False,Podxl
Astrocytes,0.004636497,0.016241593,0.638,0.362,0.362,0.24383333333333335,False,Podxl
Endocrine Cells,0.0051614377,0.027940348,0.577,0.423,0.423,0.26942857142857146,False,Podxl
Neural Stem Cells,0.0038891248,0.021507608,0.576,0.424,0.424,0.28875,False,Podxl
Medium Spiny Neurons,0.0013767364,0.009538546,0.57,0.43,0.43,0.30444444444444446,False,Podxl
Microglia,-0.0019364079,0.018066615,0.45,0.55,0.45,0.31900000000000006,False,Podxl
Oligodendrocytes,-0.0005223064,0.010356796,0.489,0.511,0.489,0.3344545454545455,False,Podxl
GABAergic Neurons,-0.00090762414,0.019501943,0.502,0.498,0.498,0.34808333333333336,False,Podxl
