,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.019243076,0.0097909635,0.022,0.978,0.022,0.022,True,Ppp1r16b
Oligodendrocyte Precursor Cells,0.014657374,0.011738397,0.897,0.103,0.103,0.0625,False,Ppp1r16b
Neurons,0.012598155,0.013634034,0.815,0.185,0.185,0.10333333333333333,False,Ppp1r16b
Medium Spiny Neurons,0.007738654,0.009557166,0.783,0.217,0.217,0.13175,False,Ppp1r16b
Neural Stem Cells,0.011141538,0.021325521,0.695,0.305,0.305,0.16640000000000002,False,Ppp1r16b
Endocrine Cells,0.012502129,0.027784396,0.685,0.315,0.315,0.19116666666666668,False,Ppp1r16b
Myocytes,0.008235026,0.0187632,0.668,0.332,0.332,0.2112857142857143,False,Ppp1r16b
Astrocytes,0.004784209,0.016472457,0.639,0.361,0.361,0.23,False,Ppp1r16b
Endothelial Cells,-0.00979499,0.03069649,0.383,0.617,0.383,0.247,False,Ppp1r16b
Excitatory Neurons,0.0027858468,0.012824956,0.583,0.417,0.417,0.26399999999999996,False,Ppp1r16b
Microglia,-0.002293143,0.018277064,0.436,0.564,0.436,0.2796363636363636,False,Ppp1r16b
GABAergic Neurons,-0.00081779144,0.019988157,0.505,0.495,0.495,0.2975833333333333,False,Ppp1r16b
