,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013282223,0.0112493085,0.885,0.115,0.115,0.115,False,Prelp
Endocrine Cells,0.03224627,0.028107075,0.874,0.126,0.126,0.1205,False,Prelp
Myocytes,0.014892732,0.018777696,0.775,0.225,0.225,0.15533333333333332,False,Prelp
Neurons,0.00892113,0.013806377,0.74,0.26,0.26,0.1815,False,Prelp
Excitatory Neurons,0.004734282,0.012438405,0.649,0.351,0.351,0.21539999999999998,False,Prelp
Astrocytes,0.0042581246,0.01657951,0.628,0.372,0.372,0.24149999999999996,False,Prelp
Endothelial Cells,-0.0056815767,0.030693231,0.43,0.57,0.43,0.2684285714285714,False,Prelp
Neural Stem Cells,0.0033796893,0.021098573,0.568,0.432,0.432,0.288875,False,Prelp
Medium Spiny Neurons,0.0007243203,0.009549655,0.554,0.446,0.446,0.30633333333333335,False,Prelp
Microglia,-0.001550783,0.018066157,0.456,0.544,0.456,0.32130000000000003,False,Prelp
Oligodendrocytes,-0.00097241334,0.010354917,0.474,0.526,0.474,0.3351818181818182,False,Prelp
GABAergic Neurons,-0.0013099083,0.019485708,0.496,0.504,0.496,0.3485833333333333,False,Prelp
