,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013780603,0.011519104,0.888,0.112,0.112,0.112,False,Prkd3
Neurons,0.00991852,0.013822675,0.763,0.237,0.237,0.1745,False,Prkd3
Excitatory Neurons,0.0048559336,0.012447988,0.653,0.347,0.347,0.23199999999999998,False,Prkd3
Neural Stem Cells,0.006997383,0.021302411,0.634,0.366,0.366,0.26549999999999996,False,Prkd3
Astrocytes,0.004380956,0.016296552,0.632,0.368,0.368,0.2859999999999999,False,Prkd3
Oligodendrocytes,0.0027517069,0.0100646755,0.612,0.388,0.388,0.30299999999999994,False,Prkd3
Endothelial Cells,-0.009187906,0.030910049,0.392,0.608,0.392,0.31571428571428567,False,Prkd3
Endocrine Cells,0.0047925184,0.027825644,0.571,0.429,0.429,0.3298749999999999,False,Prkd3
Medium Spiny Neurons,0.0008546709,0.0095794555,0.556,0.444,0.444,0.3425555555555555,False,Prkd3
Myocytes,0.0016003476,0.018738583,0.545,0.455,0.455,0.35379999999999995,False,Prkd3
Microglia,-0.0008205934,0.018155927,0.468,0.532,0.468,0.3641818181818181,False,Prkd3
GABAergic Neurons,-0.0010355865,0.019498164,0.5,0.5,0.5,0.37549999999999994,False,Prkd3
