,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014013409,0.011263259,0.896,0.104,0.104,0.104,False,Prodh
Neurons,0.010235274,0.0138001125,0.77,0.23,0.23,0.167,False,Prodh
Astrocytes,0.007795962,0.016575694,0.692,0.308,0.308,0.214,False,Prodh
Excitatory Neurons,0.0052011204,0.012445296,0.655,0.345,0.345,0.24675,False,Prodh
Medium Spiny Neurons,0.0029642547,0.0095460545,0.636,0.364,0.364,0.2702,False,Prodh
Neural Stem Cells,0.004976258,0.021479053,0.594,0.406,0.406,0.29283333333333333,False,Prodh
Endothelial Cells,-0.0066732075,0.031002773,0.415,0.585,0.415,0.31028571428571433,False,Prodh
Endocrine Cells,0.0050154096,0.027791414,0.575,0.425,0.425,0.324625,False,Prodh
Microglia,-0.001268194,0.018079828,0.462,0.538,0.462,0.3398888888888889,False,Prodh
Myocytes,0.0005484777,0.018713584,0.524,0.476,0.476,0.35350000000000004,False,Prodh
Oligodendrocytes,0.00011786216,0.0103505505,0.513,0.487,0.487,0.36563636363636365,False,Prodh
GABAergic Neurons,-0.00083371176,0.019489808,0.503,0.497,0.497,0.3765833333333333,False,Prodh
