,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.02597281,0.018838024,0.912,0.088,0.088,0.088,False,Pygb
Oligodendrocyte Precursor Cells,0.013319404,0.011503274,0.877,0.123,0.123,0.1055,False,Pygb
Neurons,0.010330759,0.013592579,0.774,0.226,0.226,0.14566666666666667,False,Pygb
Neural Stem Cells,-0.013065384,0.021004133,0.259,0.741,0.259,0.174,False,Pygb
Excitatory Neurons,0.0046681333,0.01257535,0.642,0.358,0.358,0.21079999999999996,False,Pygb
Endothelial Cells,-0.009763487,0.030757518,0.383,0.617,0.383,0.23949999999999996,False,Pygb
Medium Spiny Neurons,0.0010953974,0.009538519,0.562,0.438,0.438,0.26785714285714285,False,Pygb
Oligodendrocytes,0.000798155,0.010177729,0.538,0.462,0.462,0.29212499999999997,False,Pygb
Microglia,-0.0009821207,0.018217677,0.468,0.532,0.468,0.31166666666666665,False,Pygb
Endocrine Cells,0.0008117292,0.02792837,0.522,0.478,0.478,0.3282999999999999,False,Pygb
GABAergic Neurons,-0.0015961921,0.019736689,0.492,0.508,0.492,0.34318181818181814,False,Pygb
Astrocytes,-0.0007552138,0.016947495,0.499,0.501,0.499,0.3561666666666666,False,Pygb
