,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013695427,0.01132776,0.889,0.111,0.111,0.111,False,Ramp3
Excitatory Neurons,0.005682134,0.012521218,0.667,0.333,0.333,0.222,False,Ramp3
Myocytes,0.007987744,0.018721849,0.662,0.338,0.338,0.26066666666666666,False,Ramp3
Neurons,0.004970102,0.013414464,0.655,0.345,0.345,0.28175,False,Ramp3
Astrocytes,0.005477461,0.016256776,0.649,0.351,0.351,0.2956,False,Ramp3
GABAergic Neurons,0.0048617665,0.019885138,0.612,0.388,0.388,0.311,False,Ramp3
Endothelial Cells,-0.008652641,0.031024791,0.395,0.605,0.395,0.323,False,Ramp3
Neural Stem Cells,0.004368831,0.0215662,0.585,0.415,0.415,0.3345,False,Ramp3
Endocrine Cells,-0.0038452644,0.027813524,0.449,0.551,0.449,0.3472222222222222,False,Ramp3
Medium Spiny Neurons,0.00032680767,0.009552196,0.536,0.464,0.464,0.3589,False,Ramp3
Oligodendrocytes,-0.0009384717,0.010298216,0.474,0.526,0.474,0.36936363636363634,False,Ramp3
Microglia,-0.00039036473,0.01809922,0.48,0.52,0.48,0.37858333333333327,False,Ramp3
