,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.014779845,0.009715225,0.057,0.943,0.057,0.057,False,Rap1a
Myocytes,0.023249125,0.018872881,0.889,0.111,0.111,0.084,False,Rap1a
Oligodendrocyte Precursor Cells,0.012756585,0.011478346,0.869,0.131,0.131,0.09966666666666668,False,Rap1a
Neurons,0.008762551,0.013716114,0.737,0.263,0.263,0.1405,False,Rap1a
Endocrine Cells,0.010730481,0.02790243,0.654,0.346,0.346,0.1816,False,Rap1a
Excitatory Neurons,0.004190511,0.012523426,0.628,0.372,0.372,0.21333333333333335,False,Rap1a
Endothelial Cells,-0.009049809,0.03084346,0.393,0.607,0.393,0.23900000000000002,False,Rap1a
Astrocytes,0.0031605582,0.016333384,0.6,0.4,0.4,0.259125,False,Rap1a
Neural Stem Cells,0.004071423,0.021359153,0.581,0.419,0.419,0.2768888888888889,False,Rap1a
Microglia,-0.0027496517,0.018213231,0.431,0.569,0.431,0.2923,False,Rap1a
GABAergic Neurons,-0.0014614298,0.019636864,0.493,0.507,0.493,0.3105454545454545,False,Rap1a
Medium Spiny Neurons,-0.00028985858,0.0095258,0.504,0.496,0.496,0.326,False,Rap1a
