,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.09882627,0.02824049,0.0,1.0,0.0,0.0,True,Rnaset2a
Myocytes,-0.033271246,0.018924152,0.044,0.956,0.044,0.022,True,Rnaset2a
Oligodendrocyte Precursor Cells,0.0155741805,0.0116258925,0.907,0.093,0.093,0.04566666666666667,True,Rnaset2a
Neurons,0.01022028,0.013650609,0.77,0.23,0.23,0.09175,False,Rnaset2a
Oligodendrocytes,0.004381864,0.010146347,0.67,0.33,0.33,0.13940000000000002,False,Rnaset2a
Endothelial Cells,-0.012546029,0.03033272,0.344,0.656,0.344,0.1735,False,Rnaset2a
Excitatory Neurons,0.004796559,0.0125178825,0.65,0.35,0.35,0.1987142857142857,False,Rnaset2a
Medium Spiny Neurons,0.0027711226,0.009539858,0.632,0.368,0.368,0.219875,False,Rnaset2a
Neural Stem Cells,-0.006099801,0.021120898,0.376,0.624,0.376,0.2372222222222222,False,Rnaset2a
Astrocytes,0.0023071477,0.016668985,0.573,0.427,0.427,0.2562,False,Rnaset2a
Microglia,-0.0008796542,0.0195396,0.468,0.532,0.468,0.27545454545454545,False,Rnaset2a
GABAergic Neurons,-0.002442476,0.01977551,0.472,0.528,0.472,0.29183333333333333,False,Rnaset2a
