,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.12430968,0.018820403,0.0,1.0,0.0,0.0,True,Scn4b
Medium Spiny Neurons,-0.029181061,0.009667421,0.001,0.999,0.001,0.0005,True,Scn4b
Oligodendrocyte Precursor Cells,0.013441289,0.011327715,0.886,0.114,0.114,0.03833333333333334,True,Scn4b
Neurons,0.008500645,0.01376042,0.73,0.27,0.27,0.09625,False,Scn4b
Endocrine Cells,0.015793838,0.027743792,0.724,0.276,0.276,0.1322,False,Scn4b
Endothelial Cells,-0.008380501,0.031031761,0.399,0.601,0.399,0.17666666666666667,False,Scn4b
Astrocytes,0.0031244587,0.016230877,0.6,0.4,0.4,0.20857142857142857,False,Scn4b
Excitatory Neurons,0.0028445702,0.012593008,0.586,0.414,0.414,0.23424999999999999,False,Scn4b
Neural Stem Cells,0.0030777606,0.021524899,0.561,0.439,0.439,0.25699999999999995,False,Scn4b
Oligodendrocytes,-0.002069497,0.010294515,0.44,0.56,0.44,0.2753,False,Scn4b
Microglia,-0.0021453672,0.01810606,0.443,0.557,0.443,0.2905454545454545,False,Scn4b
GABAergic Neurons,0.00067958253,0.019751284,0.53,0.47,0.47,0.30549999999999994,False,Scn4b
