,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.067982316,0.019388447,1.0,0.0,0.0,0.0,True,Selenop
Oligodendrocytes,-0.037207685,0.00969043,0.0,1.0,0.0,0.0,True,Selenop
Neurons,0.022740068,0.012927422,0.96,0.04,0.04,0.013333333333333334,True,Selenop
Medium Spiny Neurons,0.016024577,0.009508443,0.946,0.054,0.054,0.0235,True,Selenop
Oligodendrocyte Precursor Cells,0.015582827,0.01185952,0.906,0.094,0.094,0.0376,True,Selenop
Endocrine Cells,0.035304803,0.028872812,0.891,0.109,0.109,0.049499999999999995,True,Selenop
Astrocytes,0.021420754,0.01824539,0.881,0.119,0.119,0.05942857142857143,False,Selenop
Excitatory Neurons,0.0037876249,0.01281525,0.609,0.391,0.391,0.10087499999999999,False,Selenop
GABAergic Neurons,0.002874589,0.020116942,0.568,0.432,0.432,0.13766666666666666,False,Selenop
Microglia,-0.00021505391,0.022708016,0.485,0.515,0.485,0.17239999999999997,False,Selenop
Endothelial Cells,0.0003888781,0.026688226,0.505,0.495,0.495,0.20172727272727273,False,Selenop
Neural Stem Cells,0.00023188899,0.020687098,0.502,0.498,0.498,0.22641666666666663,False,Selenop
