,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Microglia,-0.056659944,0.021401487,0.002,0.998,0.002,0.002,True,Selplg
Oligodendrocyte Precursor Cells,0.013250731,0.011252474,0.884,0.116,0.116,0.059000000000000004,False,Selplg
Neurons,0.009580392,0.013831485,0.757,0.243,0.243,0.12033333333333333,False,Selplg
Excitatory Neurons,0.004816429,0.012448006,0.651,0.349,0.349,0.1775,False,Selplg
Astrocytes,0.004454222,0.016225912,0.635,0.365,0.365,0.215,False,Selplg
Endothelial Cells,-0.009077401,0.031039475,0.393,0.607,0.393,0.24466666666666667,False,Selplg
Myocytes,0.0042208955,0.01871578,0.59,0.41,0.41,0.2682857142857143,False,Selplg
Neural Stem Cells,0.00446368,0.021528428,0.588,0.412,0.412,0.28625,False,Selplg
Medium Spiny Neurons,0.0011182816,0.009581888,0.562,0.438,0.438,0.3031111111111111,False,Selplg
Endocrine Cells,0.0036772606,0.027730033,0.551,0.449,0.449,0.3177,False,Selplg
Oligodendrocytes,-0.0011461708,0.010338438,0.469,0.531,0.469,0.33145454545454545,False,Selplg
GABAergic Neurons,-0.0008076838,0.019487925,0.505,0.495,0.495,0.34508333333333335,False,Selplg
