,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013744009,0.011285973,0.891,0.109,0.109,0.109,False,Sema3c
Neurons,0.009438318,0.013763113,0.757,0.243,0.243,0.176,False,Sema3c
Myocytes,-0.01083754,0.018745666,0.292,0.708,0.292,0.21466666666666664,False,Sema3c
Excitatory Neurons,0.005162338,0.012463019,0.654,0.346,0.346,0.24749999999999997,False,Sema3c
Astrocytes,0.004686478,0.016226262,0.639,0.361,0.361,0.2702,False,Sema3c
Endocrine Cells,0.007789452,0.027799929,0.616,0.384,0.384,0.2891666666666666,False,Sema3c
Endothelial Cells,-0.0059643523,0.03054238,0.425,0.575,0.425,0.30857142857142855,False,Sema3c
Neural Stem Cells,0.0036857224,0.021523153,0.574,0.426,0.426,0.32325,False,Sema3c
Medium Spiny Neurons,0.0012221581,0.009545791,0.567,0.433,0.433,0.33544444444444443,False,Sema3c
Microglia,-0.0008258744,0.018083837,0.468,0.532,0.468,0.34869999999999995,False,Sema3c
Oligodendrocytes,-0.0005106869,0.01035083,0.489,0.511,0.489,0.3614545454545454,False,Sema3c
GABAergic Neurons,-0.00069026445,0.019676128,0.505,0.495,0.495,0.37258333333333327,False,Sema3c
