,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.035015658,0.018895093,0.967,0.033,0.033,0.033,True,Serpini1
Oligodendrocyte Precursor Cells,0.016034154,0.011478195,0.921,0.079,0.079,0.056,False,Serpini1
Endocrine Cells,-0.014138046,0.027868107,0.315,0.685,0.315,0.14233333333333334,False,Serpini1
Neurons,0.004733569,0.01347635,0.65,0.35,0.35,0.19424999999999998,False,Serpini1
Astrocytes,0.004689218,0.016309004,0.639,0.361,0.361,0.22759999999999997,False,Serpini1
Excitatory Neurons,0.0045115654,0.013055235,0.633,0.367,0.367,0.2508333333333333,False,Serpini1
Neural Stem Cells,0.0068282774,0.021443848,0.63,0.37,0.37,0.26785714285714285,False,Serpini1
Medium Spiny Neurons,0.0013947766,0.009535688,0.571,0.429,0.429,0.288,False,Serpini1
Endothelial Cells,-0.0055526127,0.03089372,0.431,0.569,0.431,0.3038888888888889,False,Serpini1
Microglia,-0.00071607006,0.018164376,0.472,0.528,0.472,0.3207,False,Serpini1
GABAergic Neurons,-0.00025518952,0.021163173,0.512,0.488,0.488,0.3359090909090909,False,Serpini1
Oligodendrocytes,-0.0003291497,0.010237862,0.496,0.504,0.496,0.34925,False,Serpini1
