,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Microglia,-0.05970094,0.020429777,0.0,1.0,0.0,0.0,True,Siglech
Oligodendrocyte Precursor Cells,0.012662243,0.011265015,0.872,0.128,0.128,0.064,False,Siglech
Neurons,0.009382241,0.013822589,0.755,0.245,0.245,0.12433333333333334,False,Siglech
Myocytes,0.010884124,0.018732188,0.706,0.294,0.294,0.16675,False,Siglech
Excitatory Neurons,0.0046552117,0.0124553265,0.643,0.357,0.357,0.2048,False,Siglech
Astrocytes,0.004214327,0.016237037,0.63,0.37,0.37,0.23233333333333336,False,Siglech
Endothelial Cells,-0.009486866,0.031033916,0.39,0.61,0.39,0.2548571428571429,False,Siglech
Neural Stem Cells,0.00305287,0.021535838,0.561,0.439,0.439,0.27787500000000004,False,Siglech
Medium Spiny Neurons,0.00090743677,0.009576722,0.557,0.443,0.443,0.2962222222222223,False,Siglech
Oligodendrocytes,-0.0017174967,0.010336578,0.45,0.55,0.45,0.31160000000000004,False,Siglech
Endocrine Cells,0.0030456628,0.027718328,0.544,0.456,0.456,0.32472727272727275,False,Siglech
GABAergic Neurons,-0.0011613287,0.0194964,0.498,0.502,0.498,0.33916666666666667,False,Siglech
